Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Create and configure Domain and Test .csproj files","Create the `PatternCipher.Domain.csproj` file targeting .NET Standard 2.1. Create the `PatternCipher.Domain.Tests.csproj` file using the xUnit template. Add project references between them and to the SharedKernel. Acceptance Criteria: 1. The `PatternCipher.Domain.csproj` file targets `netstandard2.1`. 2. The `PatternCipher.Domain.Tests.csproj` file is created and references the domain project. 3. Both projects build successfully via `dotnet build`.","Infrastructure","Backlog","Critical","dev2@project.com","pm@project.com","",2,"Setup,Build,US-401","Sprint 1","Project Setup and Quality Assurance","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/PatternCipher.Domain.csproj, tests/PatternCipher.Domain.Tests/PatternCipher.Domain.Tests.csproj","Assumptions: Developer has .NET CLI installed and is familiar with .csproj format. Verification: Code review and successful execution of `dotnet build` and `dotnet test`. Risks Mitigated: [].","US-401","","2024-05-15 10:00","2024-05-15 10:00",".NET CLI"
"Configure CI pipeline for build and test","Add a new job or workflow step to the existing CI/CD pipeline (e.g., GitHub Actions) to automatically run `dotnet build` and `dotnet test` for the `PatternCipher.Domain` solution on every push. Acceptance Criteria: 1. A CI workflow file (e.g., `.github/workflows/dotnet.yml`) is created or updated. 2. The workflow successfully executes `dotnet build` and `dotnet test` on a push. 3. The workflow reports success on pass and failure on fail.","Infrastructure","Backlog","Critical","dev2@project.com","pm@project.com","",2,"CI,DevOps,US-401","Sprint 1","Project Setup and Quality Assurance","GameplayLogicEndpoints (REPO-PATT-002)","CI configuration file (e.g., .yml)","Assumptions: A CI system like GitHub Actions is already in use for the project. Verification: A successful CI run triggered by a pull request. Risks Mitigated: [].","US-401","TASK-QA-401a","2024-05-15 10:00","2024-05-15 10:00","CI/CD,YAML"
"Implement GridPosition value object","Create the `GridPosition` as an immutable C# record with Row and Column properties. Implement the `IsAdjacentTo` method. Acceptance Criteria: 1. Code for `GridPosition.cs` is implemented as a C# record. 2. The `IsAdjacentTo` method correctly identifies horizontal/vertical neighbors and excludes diagonals and self. 3. Code passes linter and style checks.","Development","Backlog","Critical","dev2@project.com","pm@project.com","",1.5,"ValueObject,DDD,US-101","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Puzzles/ValueObjects/GridPosition.cs","Assumptions: Developer is familiar with C# records and basic geometry. Verification: Code review and successful unit test execution by TASK-DOM-101b. Risks Mitigated: [].","US-101","","2024-05-15 10:00","2024-05-15 10:00","C#"
"Unit Test GridPosition value object","Write comprehensive xUnit tests for `GridPosition`, covering equality, hash code, and the `IsAdjacentTo` method with various cases (adjacent, non-adjacent, diagonal, same position). Acceptance Criteria: 1. Unit test file `GridPositionTests.cs` is created. 2. Tests achieve >95% method coverage for `GridPosition.cs`. 3. All tests pass in the CI pipeline.","Testing","Backlog","Critical","dev2@project.com","pm@project.com","",2,"UnitTest,QA,US-101","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","tests/PatternCipher.Domain.Tests/Puzzles/ValueObjects/GridPositionTests.cs","Assumptions: []. Verification: Code review and successful test execution in CI. Risks Mitigated: [].","US-101","TASK-DOM-101a","2024-05-15 10:00","2024-05-15 10:00","C#,xUnit"
"Implement SolutionPath value object","Create the immutable `SolutionPath` class. It should accept a list of moves in its constructor and expose `Par` and a read-only list of moves as properties. Acceptance Criteria: 1. Code for `SolutionPath.cs` is implemented as an immutable class. 2. `Par` property correctly returns the count of moves. 3. `Moves` property is exposed as `IReadOnlyList<Move>`.","Development","Backlog","Critical","dev2@project.com","pm@project.com","",1,"ValueObject,DDD,US-101","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Puzzles/ValueObjects/SolutionPath.cs","Assumptions: []. Verification: Code review and successful unit test execution by TASK-DOM-101d. Risks Mitigated: [].","US-101","","2024-05-15 10:00","2024-05-15 10:00","C#"
"Unit Test SolutionPath value object","Write xUnit tests for `SolutionPath` to verify immutability, correct `Par` calculation, and proper exposure of the `Moves` collection. Acceptance Criteria: 1. Unit test file `SolutionPathTests.cs` is created. 2. Tests confirm `Par` is calculated correctly and the `Moves` list is read-only. 3. All tests pass in the CI pipeline.","Testing","Backlog","Critical","dev2@project.com","pm@project.com","",2,"UnitTest,QA,US-101","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","tests/PatternCipher.Domain.Tests/Puzzles/ValueObjects/SolutionPathTests.cs","Assumptions: []. Verification: Code review and successful test execution in CI. Risks Mitigated: [].","US-101","TASK-DOM-101c","2024-05-15 10:00","2024-05-15 10:00","C#,xUnit"
"Implement Grid entity structure and constructor","Create the `Grid.cs` file. Implement the class with its properties (`Rows`, `Columns`) and the `_tiles` dictionary. The constructor should validate that the number of initial tiles matches the grid dimensions. Acceptance Criteria: 1. `Grid.cs` is created with specified members. 2. Constructor correctly populates the `_tiles` dictionary. 3. Constructor throws an exception if tile count does not match `rows * columns`.","Development","Backlog","Critical","dev2@project.com","pm@project.com","",2.2,"Entity,DDD,US-102","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Puzzles/Entities/Grid.cs","Assumptions: []. Verification: Code review and successful unit test execution by TASK-DOM-102c. Risks Mitigated: [].","US-102","TASK-DOM-101a","2024-05-15 10:00","2024-05-15 10:00","C#,Domain-Driven Design"
"Implement Grid methods for tile access and manipulation","Implement `GetTileAt`, `SwapTiles`, and `IsMoveValid`. `GetTileAt` should handle out-of-bounds errors. `SwapTiles` must correctly update tile positions and dictionary keys. `IsMoveValid` must check adjacency and tile lock status. Acceptance Criteria: 1. `GetTileAt` returns the correct tile or throws `ArgumentOutOfRangeException`. 2. `SwapTiles` correctly exchanges two tiles' positions in the `_tiles` dictionary. 3. `IsMoveValid` returns true for valid swaps and false for invalid ones (non-adjacent, locked, out-of-bounds).","Development","Backlog","Critical","dev2@project.com","pm@project.com","",3.5,"Entity,DDD,US-102","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Puzzles/Entities/Grid.cs","Assumptions: []. Verification: Code review and successful unit test execution by TASK-DOM-102c. Risks Mitigated: [].","US-102","TASK-DOM-102a","2024-05-15 10:00","2024-05-15 10:00","C#,Domain-Driven Design"
"Unit Test Grid entity","Write comprehensive xUnit tests for the `Grid` class. Test the constructor (valid and invalid cases), `GetTileAt` (valid and out-of-bounds), `SwapTiles`, and `IsMoveValid` with a variety of scenarios. Acceptance Criteria: 1. Unit test file `GridTests.cs` is created. 2. Tests achieve >90% method coverage for `Grid.cs`. 3. All tests for constructor logic, tile access, swapping, and move validation pass.","Testing","Backlog","Critical","dev2@project.com","pm@project.com","",4.7,"UnitTest,QA,US-102","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","tests/PatternCipher.Domain.Tests/Puzzles/Entities/GridTests.cs","Assumptions: []. Verification: Code review and successful test execution in CI. Risks Mitigated: [].","US-102","TASK-DOM-102b","2024-05-15 10:00","2024-05-15 10:00","C#,xUnit"
"Implement Puzzle aggregate root structure","Create the `Puzzle.cs` file. Implement the class with its members (`Id`, `_grid`, `Goal`, `Solution`, `_moveHistory`). Implement the constructor to initialize these members. Implement `GetGridState` to return a defensive copy or read-only view of the grid. Acceptance Criteria: 1. `Puzzle.cs` is created with specified members. 2. Constructor correctly initializes the aggregate. 3. `GetGridState` prevents direct modification of the internal grid (verified by TASK-DOM-103c).","Development","Backlog","Critical","dev2@project.com","pm@project.com","",3.2,"AggregateRoot,DDD,US-103","Sprint 1","Core Domain Model Implementation","GameplayLogicEndpoints (REPO-PATT-002)","src/PatternCipher.Domain/Puzzles/Aggregates/Puzzle.cs","Assumptions: []. Verification: Code review and successful unit test execution by TASK-DOM-103c. Risks Mitigated: Mandate in PR template that returned collections/objects are read-only or copies.","US-103","TASK-DOM-102a,TASK-DOM-101c","2024-05-15 10:00","2024-05-15 10:00","C#,Domain-Driven Design"
