Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"EPIC-LBS-01: Project Scaffolding and Core Configuration","Establish the foundational project structure, security rules, database indexes, and core configurations necessary to begin development of the Leaderboard Service.",Epic,Backlog,Critical,product-owner@project.com,pm@project.com,,0,"config,security,database,setup","","Leaderboard Service Backend",,,,,,,
"US-LBS-001: Set Up Initial Project and Configuration","As a Developer, I want to establish the basic project structure with dependency management and centralized constants, so that I have a clean, maintainable foundation for building the service.",Story,Backlog,Critical,backend-dev@project.com,pm@project.com,,2.5,"setup,config","Sprint 1","EPIC-LBS-01: Project Scaffolding and Core Configuration","Leaderboard Service Backend",,"- Given the project is checked out, When I run `npm install`, Then all dependencies and devDependencies from `package.json` are installed without errors.
- Given the project is set up, When I inspect the `src/config/constants.ts` file, Then it exports the `FIRESTORE_COLLECTIONS`, `SCORE_VALIDATION_RULES`, and `RATE_LIMIT_CONFIG` objects.
- Given the project is checked out, When I run `npm run build`, Then the TypeScript code is successfully transpiled into the `lib` directory without errors.","EPIC-LBS-01",,,"2024-05-01 09:00:00","2024-05-01 09:00:00",
"[EPIC-LBS-01] TASK-LBS-001: Create and configure package.json with dependencies and scripts","Initialize an npm project and populate the `package.json` file with all required dependencies, devDependencies, and npm scripts (`build`, `serve`, `deploy`, `lint`) as specified in the SDS.

**Acceptance Criteria:**
- The `package.json` file is created and committed.
- `npm install` runs successfully without errors.
- All scripts are present and runnable.",Task,Backlog,Critical,backend-dev@project.com,pm@project.com,,1.1,"setup,config,Configuration","Sprint 1","EPIC-LBS-01: Project Scaffolding and Core Configuration","Leaderboard Service Backend","firebase/functions/leaderboards/package.json",,"US-LBS-001",,"2024-05-01 09:01:00","2024-05-01 09:01:00","npm,JSON"
"[EPIC-LBS-01] TASK-LBS-002: Implement centralized configuration constants module","Create the `src/config/constants.ts` file to define and export `FIRESTORE_COLLECTIONS`, `SCORE_VALIDATION_RULES`, and `RATE_LIMIT_CONFIG` for application-wide use.

**Acceptance Criteria:**
- The file `src/config/constants.ts` is created.
- All specified constant objects are exported correctly.
- The file passes linting and TypeScript compilation.",Task,Backlog,Critical,backend-dev@project.com,pm@project.com,,1.4,"config,code-structure,Backend","Sprint 1","EPIC-LBS-01: Project Scaffolding and Core Configuration","Leaderboard Service Backend","firebase/functions/leaderboards/src/config/constants.ts",,"US-LBS-001","TASK-LBS-001","2024-05-01 09:02:00","2024-05-01 09:02:00","TypeScript"
"US-LBS-002: Secure Leaderboard Data from Client-Side Tampering","As a Developer, I want to configure Firestore security rules so that players cannot write directly to the leaderboard, ensuring all scores are submitted through the validated server endpoint for fairness.",Story,Backlog,Critical,backend-dev@project.com,pm@project.com,,4.5,"security,firestore","Sprint 1","EPIC-LBS-01: Project Scaffolding and Core Configuration","Leaderboard Service Backend",,"- Given the Firestore security rules are deployed, When an unauthenticated or authenticated client attempts to read from the `/leaderboards/{any_doc}` path, Then the read operation is allowed.
- Given the Firestore security rules are deployed, When a client attempts to perform a write operation (create, update, delete) on the `/leaderboards/{any_doc}` path, Then the write operation is denied.
- Given a user is authenticated with a specific UID, When they attempt to create, read, or update the document at `/scoreSubmissions/{their_UID}`, Then the operation is allowed.","EPIC-LBS-01",,,"2024-05-01 09:03:00","2024-05-01 09:03:00",
"[EPIC-LBS-01] TASK-LBS-003: Implement and configure Firestore security rules","Create and populate the `firestore.rules` file to deny all client-side writes to the `leaderboards` collection while allowing public reads. Also, configure rules for the `scoreSubmissions` collection to allow users to manage their own rate-limiting documents.

**Acceptance Criteria:**
- The `firestore.rules` file is committed.
- Rules explicitly deny `write` on `/leaderboards/{id}`.
- Rules explicitly allow `read` on `/leaderboards/{id}`.
- Rules for `/scoreSubmissions/{userId}` allow `create`, `read`, `update` only if `request.auth.uid == userId`.
- Rules are successfully deployed via Firebase CLI.",Task,Backlog,Critical,backend-dev@project.com,pm@project.com,,4.5,"security,firestore,config,Security","Sprint 1","EPIC-LBS-01: Project Scaffolding and Core Configuration","Leaderboard Service Backend","firebase/functions/leaderboards/firestore.rules",,"US-LBS-002",,"2024-05-01 09:04:00","2024-05-01 09:04:00","Firebase Security Rules"
"US-LBS-003: Optimize Leaderboard Query Performance","As a Developer, I want to define composite indexes in Firestore so that client applications can query and sort leaderboards by score, moves, or time efficiently, providing a fast user experience.",Story,Backlog,Critical,backend-dev@project.com,pm@project.com,,6.5,"database,performance","Sprint 1","EPIC-LBS-01: Project Scaffolding and Core Configuration","Leaderboard Service Backend",,"- Given the Firestore indexes are deployed, When a query is made to the `leaderboards` collection filtering by `levelId` and sorting by `score` descending, Then the query executes successfully and efficiently.
- Given the Firestore indexes are deployed, When a query is made to the `leaderboards` collection filtering by `levelId` and sorting by `moves` ascending, Then the query executes successfully and efficiently.
- Given the Firestore indexes are deployed, When a query is made to the `leaderboards` collection filtering by `levelId` and sorting by `timeInSeconds` ascending, Then the query executes successfully and efficiently.","EPIC-LBS-01",,"TASK-LBS-001,TASK-LBS-007","2024-05-01 09:05:00","2024-05-01 09:05:00",
"[EPIC-LBS-01] TASK-LBS-004: Define Firestore composite indexes for leaderboard queries","Create the `firestore.indexes.json` file and define the three required composite indexes for querying the `leaderboards` collection, sorting by score, moves, and time respectively.

**Acceptance Criteria:**
- The `firestore.indexes.json` file is committed.
- Index for `levelId` (ASC) and `score` (DESC) is defined.
- Index for `levelId` (ASC) and `moves` (ASC) is defined.
- Index for `levelId` (ASC) and `timeInSeconds` (ASC) is defined.
- Indexes are successfully deployed via Firebase CLI.",Task,Backlog,Critical,backend-dev@project.com,pm@project.com,,2.2,"database,performance,config,Database","Sprint 1","EPIC-LBS-01: Project Scaffolding and Core Configuration","Leaderboard Service Backend","firebase/functions/leaderboards/firestore.indexes.json",,"US-LBS-003",,"2024-05-01 09:06:00","2024-05-01 09:06:00","Firebase Firestore,JSON"
"EPIC-LBS-02: Domain and Application Layer Implementation","Implement the core business logic, including data models, validation services, and application services that orchestrate the score submission use case.",Epic,Backlog,Critical,product-owner@project.com,pm@project.com,,0,"domain-logic,application-logic,business-rules","","Leaderboard Service Backend",,,,,,,
"US-LBS-004: Define Data Contracts for Score Submission","As a Developer, I want to define the domain model for a leaderboard entry and the DTO for score submission, so that there is a clear, strongly-typed data contract for all parts of the application.",Story,Backlog,Critical,backend-dev@project.com,pm@project.com,,3.7,"model,dto,validation","Sprint 1","EPIC-LBS-02: Domain and Application Layer Implementation","Leaderboard Service Backend",,"- Given the domain model file, When I import `LeaderboardEntry`, Then it has all the required properties (`userId`, `userName`, `levelId`, `score`, `moves`, `timeInSeconds`, `submittedAt`).
- Given the DTO file, When I import `SubmitScoreDto`, Then it has the properties `levelId`, `score`, `moves`, and `timeInSeconds`.
- Given the DTO file and a valid score submission payload, When I validate the payload against the exported `submitScoreSchema` (Joi schema), Then the validation passes without error.","EPIC-LBS-02","US-LBS-001","2024-05-01 09:07:00","2024-05-01 09:07:00",
