Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Setup C# Project, Folders, and Dependencies","Initialize a new C# Class Library project targeting .NET Standard 2.1. Create the full directory structure as specified in the SDS. Add the `Newtonsoft.Json` package reference and the test project reference.","Configuration","Backlog","Critical","dev@patterncipher.com","pm@patterncipher.com","",3.2,"setup,configuration","Sprint 1: Core Components & Security","Core Persistence Framework & Interfaces","LocalPersistenceEndpoints","","AC: The `.csproj` file targets .NET Standard 2.1. A `PackageReference` for `Newtonsoft.Json` is added. The specified folder structure (`Interfaces`, `Repositories`, `Security`, etc.) is created and committed. The solution builds successfully.","US-001","","2024-09-02 09:00","2024-09-02 09:00",".NET CLI,Visual Studio"
"Define All Core Service Interfaces","Create C# files for all specified interfaces: `IPersistenceService`, `IFileRepository`, `IDataProtector`, `IMigrationService`, `IMigrationScript`, `IJsonSerializer`. All method and property signatures must match the SDS exactly.","Development","Backlog","Critical","dev@patterncipher.com","pm@patterncipher.com","",5.2,"interface,architecture","Sprint 1: Core Components & Security","Core Persistence Framework & Interfaces","LocalPersistenceEndpoints","","AC: Each interface is in its own file within the correct namespace. All method and property signatures are identical to the SDS. The project compiles without errors after adding the interfaces.","US-001","TASK-PERSIST-001","2024-09-02 09:00","2024-09-02 09:00","C#"
"Implement Data Models and Custom Exception","Create the `SaveDataWrapper.cs` POCO class and the `SaveDataCorruptionException.cs` custom exception class. The exception should inherit from `System.Exception` and include standard constructors.","Development","Backlog","Critical","dev@patterncipher.com","pm@patterncipher.com","",3,"model,dto,exception","Sprint 1: Core Components & Security","Core Persistence Framework & Interfaces","LocalPersistenceEndpoints","","AC: `SaveDataWrapper.cs` is created with `SchemaVersion` and `Payload` properties. `SaveDataCorruptionException.cs` is created, inherits `System.Exception`, and has `(string message)` and `(string message, Exception innerException)` constructors.","US-001","TASK-PERSIST-001","2024-09-02 09:00","2024-09-02 09:00","C#"
"Initialize Test Project","Create the associated NUnit test project `PatternCipher.Infrastructure.Persistence.Tests`. Add references to the main project and mocking libraries (Moq).","Testing","Backlog","Critical","dev@patterncipher.com","pm@patterncipher.com","",2.2,"testing,setup","Sprint 1: Core Components & Security","Core Persistence Framework & Interfaces","LocalPersistenceEndpoints","","AC: The test project is created and correctly references the main persistence project. NUnit and Moq packages are added. A placeholder test runs successfully.","US-001","TASK-PERSIST-001","2024-09-02 09:00","2024-09-02 09:00",".NET CLI,NUnit"
"Implement `NewtonsoftJsonSerializer`","Create the concrete implementation of `IJsonSerializer` as a thin wrapper around `Newtonsoft.Json.JsonConvert.SerializeObject` and `DeserializeObject<T>`.","Development","Backlog","Critical","dev@patterncipher.com","pm@patterncipher.com","",3.2,"serialization,wrapper","Sprint 1: Core Components & Security","Data Persistence Implementation","LocalPersistenceEndpoints","","AC: Class implements all methods of `IJsonSerializer`. `Serialize` method correctly converts an object to a JSON string. `Deserialize<T>` method correctly converts a JSON string to an object of type T.","US-002","TASK-PERSIST-002","2024-09-02 09:00","2024-09-02 09:00","C#,Newtonsoft.Json"
"Unit Test `NewtonsoftJsonSerializer`","Write unit tests to verify the serialization and deserialization of a sample POCO, including handling of nulls and empty objects.","Testing","Backlog","Critical","dev@patterncipher.com","pm@patterncipher.com","",4.2,"unit-test,serialization","Sprint 1: Core Components & Security","Data Persistence Implementation","LocalPersistenceEndpoints","","AC: A test verifies that a complex object is serialized to a correct JSON string. A test verifies that a JSON string is deserialized back to an object with correct values. Tests pass successfully in the CI pipeline.","US-002","TASK-PERSIST-004,TASK-PERSIST-038","2024-09-02 09:00","2024-09-02 09:00","C#,NUnit"
"Implement `LocalFileRepository`","Implement `IFileRepository` using `System.IO.File`. Critically, `ReadAllTextAsync` and `WriteAllTextAsync` must wrap the synchronous `File` calls in `Task.Run()` to offload the I/O from the calling thread.","Development","Backlog","Critical","dev@patterncipher.com","pm@patterncipher.com","",6.3,"repository,file-io,async","Sprint 1: Core Components & Security","Data Persistence Implementation","LocalPersistenceEndpoints","","AC: Class implements all methods of `IFileRepository`. Async methods use `Task.Run` to wrap synchronous `System.IO.File` calls. File paths are constructed using `Path.Combine` and a base path (e.g., a temp directory for testing).","US-003","TASK-PERSIST-002","2024-09-02 09:00","2024-09-02 09:00","C#,async/await,System.IO"
"Unit Test `LocalFileRepository`","Write unit tests that verify file read, write, exists, and delete operations. Tests will interact with the actual file system in a temporary directory created during test setup and torn down afterwards.","Testing","Backlog","Critical","dev@patterncipher.com","pm@patterncipher.com","",7.5,"unit-test,file-io,integration-test-light","Sprint 1: Core Components & Security","Data Persistence Implementation","LocalPersistenceEndpoints","","AC: Test setup creates a temporary directory. Tests verify `WriteAllTextAsync` and `ReadAllTextAsync` roundtrip. Tests verify `FileExists` and `DeleteFile` methods work as expected. Test teardown successfully cleans up all created files and directories.","US-003","TASK-PERSIST-006,TASK-PERSIST-038","2024-09-02 09:00","2024-09-02 09:00","C#,NUnit,System.IO"
"Implement `SimpleXorDataProtector.Protect` method","Implement the data protection logic: compute SHA256 hash of input JSON, create a `{hash}:{jsonData}` string, apply a byte-by-byte XOR operation with a secret key, and return the Base64 encoded result.","Development","Backlog","High","dev@patterncipher.com","pm@patterncipher.com","",8.2,"security,crypto,obfuscation","Sprint 1: Core Components & Security","Data Security and Integrity","LocalPersistenceEndpoints","","AC: `SHA256.ComputeHash` is used correctly. The XOR cipher logic correctly processes all bytes. The final output is a valid Base64 string. The secret key is constructed at runtime, not a simple string literal.","US-004","TASK-PERSIST-002,TASK-PERSIST-003","2024-09-02 09:00","2024-09-02 09:00","C#,System.Security.Cryptography,System.Text"
"Implement `SimpleXorDataProtector.Unprotect` method","Implement the reversal of the Protect logic: Base64 decode, apply XOR, split the string to separate hash and data, re-compute the hash of the data, and compare. Throw `SaveDataCorruptionException` if hashes don't match or format is invalid.","Development","Backlog","High","dev@patterncipher.com","pm@patterncipher.com","",8.2,"security,validation,checksum","Sprint 1: Core Components & Security","Data Security and Integrity","LocalPersistenceEndpoints","","AC: The XOR cipher is correctly reversed. The string is split correctly to extract the original hash and JSON payload. The hash of the extracted payload is re-computed. `SaveDataCorruptionException` is thrown if the re-computed hash does not match the original hash. The clean JSON is returned on success.","US-004","TASK-PERSIST-008","2024-09-02 09:00","2024-09-02 09:00","C#,System.Security.Cryptography"
